State,Trade_Type,Domestic_Mode,Unit,Year,Units_Within,Units_In,Units_Out
Idaho,Domestic Only,Air (include truck-air),million ton-miles,2012,0,6.189257,6.018101
Idaho,Domestic Only,Multiple modes & mail,million ton-miles,2012,244.1359,944.218149,2158.776913
Idaho,Domestic Only,Pipeline,million ton-miles,2012,0.9597,677.8724,4711.4509
Idaho,Domestic Only,Rail,million ton-miles,2012,68.0446,4533.5719,10460.1454
Idaho,Domestic Only,Truck,million ton-miles,2012,5116.445312,11499.63894,14325.86096
Idaho,Export,Air (include truck-air),million ton-miles,2012,0.004529,0.196688,8.391362
Idaho,Export,Multiple modes & mail,million ton-miles,2012,0,0,97.212267
Idaho,Export,Other and unknown,million ton-miles,2012,0.000163,0.0914,57.770647
Idaho,Export,Rail,million ton-miles,2012,0,0,913.055916
Idaho,Export,Truck,million ton-miles,2012,0.001036,0,1071.548908
Idaho,Export,Water,million ton-miles,2012,0,0,0.001664
Idaho,Import,Air (include truck-air),million ton-miles,2012,0.002029,7.277931,0.003019
Idaho,Import,Multiple modes & mail,million ton-miles,2012,0,105.709999,0.984
Idaho,Import,Other and unknown,million ton-miles,2012,0,0.1493,0.0819
Idaho,Import,Pipeline,million ton-miles,2012,2433.9666,0,145.6234
Idaho,Import,Rail,million ton-miles,2012,134.5775,373.626899,3470.674239
Idaho,Import,Truck,million ton-miles,2012,6.596245,319.233312,463.118653
Idaho,Import,Water,million ton-miles,2012,0,0.000027,0
Illinois,Domestic Only,Air (include truck-air),million ton-miles,2012,0.079746,39.077278,110.793632
Illinois,Domestic Only,Multiple modes & mail,million ton-miles,2012,1121.351737,6655.463823,10107.06927
Illinois,Domestic Only,Pipeline,million ton-miles,2012,1193.288,45166.59962,16957.9377
Illinois,Domestic Only,Rail,million ton-miles,2012,1480.5857,98723.9378,44723.8295
Illinois,Domestic Only,Truck,million ton-miles,2012,18760.17083,53367.16792,55709.18175
Illinois,Domestic Only,Water,million ton-miles,2012,533.3751,2935.916,13661.7264
Illinois,Export,Air (include truck-air),million ton-miles,2012,0.023279,150.644087,83.730293
Illinois,Export,Multiple modes & mail,million ton-miles,2012,0.001845,2.008184,13781.41438
Illinois,Export,Other and unknown,million ton-miles,2012,0.006158,28.781473,13.120578
Illinois,Export,Pipeline,million ton-miles,2012,0.000949,0,1886.530772
Illinois,Export,Rail,million ton-miles,2012,0.000468,3.417405,9679.94082
Illinois,Export,Truck,million ton-miles,2012,4.436186,12.374972,12355.39598
Illinois,Export,Water,million ton-miles,2012,3.154682,58.773645,94.732876
Illinois,Import,Air (include truck-air),million ton-miles,2012,1.139246,30.559434,189.185721
Illinois,Import,Multiple modes & mail,million ton-miles,2012,10.297239,4223.859433,22.252265
Illinois,Import,No domestic mode,million ton-miles,2012,0,0,0
Illinois,Import,Other and unknown,million ton-miles,2012,2.426204,186.718355,13.006902
Illinois,Import,Pipeline,million ton-miles,2012,0.000629,10925.0637,0
Illinois,Import,Rail,million ton-miles,2012,5.253505,10574.84756,2019.423443
