"Name","Total","No_Schooling_Completed","Nursery_School","Kindergarten","1st_Grade","2nd_Grade","3rd_Grade","4th_Grade","5th_Grade","6th_Grade","7th_Grade","8th_Grade","9th_Grade","10th_Grade","11th_Grade","12th_Grade_No_Diploma","Regular_High_School_Diploma","GED_or_alternative_credential","Some_College_less_than_1_year","Some_College_1_year_or_more","Associates_Degree","Bachelors_Degree","Masters_Degree","Professional_School_Degree","Doctorate_Degree","STATEFP","COUNTYFP","STATE_FIPS","Year","No_Highschool_Diploma","Some_College"
"Morgan County, Tennessee","15626","106","0","6","0","0","17","2","18","86","108","533","343","559","820","300","5224","1948","1170","1503","1105","981","710","37","50","47","129","47129","2020","2898","2673"
"Perry County, Tennessee","5551","105","0","0","0","58","0","9","0","26","101","252","221","333","155","103","1972","428","201","688","419","282","163","32","3","47","135","47135","2020","1363","889"
"Putnam County, Tennessee","51158","442","5","12","15","39","52","20","48","376","354","1209","675","993","1144","663","15594","3629","2881","6612","2878","8031","3833","758","895","47","141","47141","2020","6047","9493"
"Robertson County, Tennessee","48643","678","32","10","0","1","110","52","49","367","151","887","790","975","1395","684","15805","3224","3476","6307","3728","7091","2220","382","229","47","147","47147","2020","6181","9783"
"Sevier County, Tennessee","70237","643","0","0","13","147","174","128","122","558","280","1083","1145","2155","1652","1408","21598","4150","5697","11000","5446","8684","2735","1046","373","47","155","47155","2020","9508","16697"
"Stewart County, Tennessee","9689","105","0","0","6","0","0","0","50","24","21","137","48","366","194","277","3403","825","688","1076","701","1166","411","87","104","47","161","47161","2020","1228","1764"
"Tipton County, Tennessee","41359","344","0","0","7","0","44","72","74","247","191","525","634","1142","1002","649","12383","2836","3803","6407","3984","4550","1736","512","217","47","167","47167","2020","4931","10210"
"Union County, Tennessee","13937","203","0","0","25","0","33","23","34","73","285","657","539","450","347","351","4811","1202","745","1376","1242","822","474","221","24","47","173","47173","2020","3020","2121"
"Washington County, Tennessee","88935","718","0","27","61","6","133","108","51","214","322","1237","1214","2556","1471","1135","22071","4179","5339","13022","6352","16664","8135","2285","1635","47","179","47179","2020","9253","18361"
"White County, Tennessee","19216","339","0","0","0","0","13","7","47","39","217","810","468","484","791","410","6524","1309","1341","2614","1371","1490","674","125","143","47","185","47185","2020","3625","3955"
