"Name","Male_Unemployed_16_T_19","Female_Unemployed_16_T_19","Male_Unemployed_20_T_21","Female_Unemployed_20_T_21","Male_Unemployed_22_T_24","Female_Unemployed_22_T_24","Male_Unemployed_25_T_29","Female_Unemployed_25_T_29","Male_Unemployed_30_T_34","Female_Unemployed_30_T_34","Male_Unemployed_35_T_44","Female_Unemployed_35_T_44","Male_Unemployed_45_T_54","Female_Unemployed_45_T_54","Male_Unemployed_55_T_59","Female_Unemployed_55_T_59","Male_Unemployed_60_T_61","Female_Unemployed_60_T_61","Male_Unemployed_62_T_64","Female_Unemployed_62_T_64","Male_Unemployed_65_T_69","Female_Unemployed_65_T_69","Male_Unemployed_70_T_74","Female_Unemployed_70_T_74","Male_Unemployed_75_or_more","Female_Unemployed_75_or_more","STATEFP","COUNTYFP","STATE_FIPS","Unemployed_16_T_19","Unemployed_20_T_21","Unemployed_22_T_24","Unemployed_25_T_29","Unemployed_30_T_34","Unemployed_35_T_44","Unemployed_45_T_54","Unemployed_55_T_59","Unemployed_60_T_61","Unemployed_62_T_64","Unemployed_65_T_69","Unemployed_70_T_74","Unemployed_75_or_more","Year"
"Tipton County, Tennessee","306","280","82","124","286","153","232","236","95","75","161","391","305","217","160","17","44","10","24","54","5","0","0","11","0","0","47","167","47167","586","206","439","468","170","552","522","177","54","78","5","11","0","2010"
"Trousdale County, Tennessee","19","28","0","0","0","26","85","13","18","0","66","19","30","0","6","0","0","0","0","0","0","0","0","0","0","0","47","169","47169","47","0","26","98","18","85","30","6","0","0","0","0","0","2010"
"Unicoi County, Tennessee","20","0","0","14","11","50","0","41","12","12","66","65","73","8","53","0","0","0","7","0","0","0","0","0","0","0","47","171","47171","20","14","61","41","24","131","81","53","0","7","0","0","0","2010"
"Union County, Tennessee","85","18","77","29","11","14","42","29","78","12","93","64","33","32","8","4","0","0","0","0","0","0","0","0","0","0","47","173","47173","103","106","25","71","90","157","65","12","0","0","0","0","0","2010"
"Van Buren County, Tennessee","0","18","12","0","0","13","0","4","4","14","21","7","15","24","22","3","11","4","10","0","0","0","0","0","0","0","47","175","47175","18","12","13","4","18","28","39","25","15","10","0","0","0","2010"
"Warren County, Tennessee","162","45","59","36","58","30","112","37","83","34","181","94","159","115","108","47","47","18","2","0","23","8","0","5","0","0","47","177","47177","207","95","88","149","117","275","274","155","65","2","31","5","0","2010"
"Washington County, Tennessee","114","292","239","165","257","176","182","197","212","212","514","271","328","317","129","113","73","31","23","31","13","7","11","37","0","4","47","179","47179","406","404","433","379","424","785","645","242","104","54","20","48","4","2010"
"Wayne County, Tennessee","104","39","38","42","32","31","37","35","106","25","12","59","50","103","18","5","49","24","0","0","11","0","0","20","0","0","47","181","47181","143","80","63","72","131","71","153","23","73","0","11","20","0","2010"
"Weakley County, Tennessee","99","82","73","189","107","46","74","71","5","49","127","99","206","120","40","120","13","0","0","10","0","0","13","0","0","0","47","183","47183","181","262","153","145","54","226","326","160","13","10","0","13","0","2010"
"White County, Tennessee","53","61","102","38","93","10","133","35","40","20","86","96","150","84","21","20","11","11","48","9","4","0","0","10","0","0","47","185","47185","114","140","103","168","60","182","234","41","22","57","4","10","0","2010"
"Williamson County, Tennessee","303","284","198","91","126","118","326","123","115","136","408","429","396","280","193","243","69","46","53","71","44","21","20","0","31","16","47","187","47187","587","289","244","449","251","837","676","436","115","124","65","20","47","2010"
"Wilson County, Tennessee","278","150","183","244","178","59","151","222","170","158","441","300","503","161","114","153","85","6","44","0","0","33","0","16","0","8","47","189","47189","428","427","237","373","328","741","664","267","91","44","33","16","8","2010"
