State,Commodity,Unit,Year,Units_Within,Units_In,Units_Out
New Hampshire,Nonmetal min. prods.,million ton-miles,2012,84.151217,505.803212,306.677269
New Hampshire,Logs,million ton-miles,2012,63.183893,492.882258,206.568717
New Hampshire,Wood prods.,million ton-miles,2012,40.472173,470.212708,199.564587
New Hampshire,Other foodstuffs,million ton-miles,2012,36.6759,312.4011,192.663975
New Hampshire,Nonmetallic minerals,million ton-miles,2012,27.8342,309.969085,179.759244
New Hampshire,Coal-n.e.c.,million ton-miles,2012,26.650358,274.1358,173.0491
New Hampshire,Waste/scrap,million ton-miles,2012,21.4017,236.171699,162.350071
New Jersey,Fuel oils,million ton-miles,2012,1184.468034,8939.8448,6032.128378
New Jersey,Gasoline,million ton-miles,2012,870.93284,6833.024713,4068.523027
New Jersey,Nonmetal min. prods.,million ton-miles,2012,515.302797,6178.496,3882.127586
New Jersey,Gravel,million ton-miles,2012,423.009803,6142.652701,3210.116111
New Jersey,Coal-n.e.c.,million ton-miles,2012,245.77658,4317.461432,2562.243666
New Jersey,Natural sands,million ton-miles,2012,180.039633,3855.568939,2286.464536
New Jersey,Other ag prods.,million ton-miles,2012,175.554895,3040.194544,2167.491503
New Jersey,Other foodstuffs,million ton-miles,2012,160.372068,2317.117547,2139.043199
New Jersey,Waste/scrap,million ton-miles,2012,140.591308,2245.501024,2083.13594
New Jersey,Mixed freight,million ton-miles,2012,125.198534,2018.346861,1999.332651
New Mexico,Coal-n.e.c.,million ton-miles,2012,3662.19096,5720.708335,12343.738
New Mexico,Coal,million ton-miles,2012,425.1434,1556.9682,9917.5514
New Mexico,Gravel,million ton-miles,2012,393.651,1541.7773,1413.8522
New Mexico,Other foodstuffs,million ton-miles,2012,377.749707,1472.8633,1131.753
New Mexico,Gasoline,million ton-miles,2012,216.8407,1006.416827,650.077
New Mexico,Crude petroleum,million ton-miles,2012,154.1675,861.7806,618.3579
New Mexico,Natural sands,million ton-miles,2012,128.1951,815.971553,525.5704
New Mexico,Nonmetal min. prods.,million ton-miles,2012,116.831014,812.425605,286.2921
New Mexico,Waste/scrap,million ton-miles,2012,106.22823,761.0466,285.822389
New Mexico,Fuel oils,million ton-miles,2012,97.2474,597.329326,278.4949
New York,Coal-n.e.c.,million ton-miles,2012,1900.260418,11767.41293,8084.663416
New York,Gravel,million ton-miles,2012,1725.500121,7531.256567,6057.359348
New York,Other foodstuffs,million ton-miles,2012,1406.992305,5805.482578,4131.651479
New York,Nonmetal min. prods.,million ton-miles,2012,1405.343603,5079.369956,3789.60372
New York,Waste/scrap,million ton-miles,2012,1386.921807,4660.166454,3440.251624
New York,Nonmetallic minerals,million ton-miles,2012,1060.097168,4521.508581,3026.794409
New York,Mixed freight,million ton-miles,2012,916.730941,4056.978285,2940.193519
New York,Base metals,million ton-miles,2012,911.403361,3399.390984,2875.405079
New York,Natural sands,million ton-miles,2012,735.344812,3183.262033,2845.150168
New York,Gasoline,million ton-miles,2012,659.335423,3110.680137,2841.188722
North Carolina,Gravel,million ton-miles,2012,1724.696719,16489.8666,5726.431875
North Carolina,Other foodstuffs,million ton-miles,2012,1185.328871,10709.00313,3915.790998
North Carolina,Nonmetal min. prods.,million ton-miles,2012,987.098094,5510.186453,3511.957883
North Carolina,Natural sands,million ton-miles,2012,768.547423,5016.674768,2902.124968
North Carolina,Gasoline,million ton-miles,2012,640.42566,4938.783672,2805.690971
North Carolina,Mixed freight,million ton-miles,2012,609.438027,3552.891683,2561.924088
North Carolina,Other ag prods.,million ton-miles,2012,555.49992,3024.829103,2336.258431
North Carolina,Logs,million ton-miles,2012,426.723503,2515.402364,2245.368812
North Carolina,Wood prods.,million ton-miles,2012,404.759799,2325.77026,2104.095921
North Carolina,Animal feed,million ton-miles,2012,368.343152,2148.594275,2027.520255
North Dakota,Other ag prods.,million ton-miles,2012,3893.143543,10100.25043,95343.0164
North Dakota,Coal,million ton-miles,2012,2169.2872,3678.372114,14500.76283
North Dakota,Coal-n.e.c.,million ton-miles,2012,1025.58505,2707.910926,12466.04288
North Dakota,Cereal grains,million ton-miles,2012,667.677,2645.947881,9445.243053
North Dakota,Fertilizers,million ton-miles,2012,625.3355,2415.240581,6382.38387
North Dakota,Fuel oils,million ton-miles,2012,552.0669,2288.473734,4761.766106
North Dakota,Gasoline,million ton-miles,2012,389.0101,1972.165694,4144.950191
North Dakota,Gravel,million ton-miles,2012,271.5658,1886.327679,3949.522802
North Dakota,Nonmetal min. prods.,million ton-miles,2012,207.3549,1596.168023,2304.080275
North Dakota,Crude petroleum,million ton-miles,2012,88.5109,1210.742809,2286.96054
Ohio,Gravel,million ton-miles,2012,2811.329,22939.3703,11205.05631
Ohio,Gasoline,million ton-miles,2012,2205.7908,19946.0653,9922.92845
Ohio,Nonmetal min. prods.,million ton-miles,2012,1892.434469,12914.01616,5919.710333
Ohio,Cereal grains,million ton-miles,2012,1860.452,9041.572359,5411.717358
Ohio,Fuel oils,million ton-miles,2012,1239.991957,8566.967733,5404.466572
Ohio,Coal-n.e.c.,million ton-miles,2012,1196.237093,7627.217881,4711.203956
Ohio,Base metals,million ton-miles,2012,1022.153424,6506.468086,4547.075194
Ohio,Mixed freight,million ton-miles,2012,955.618536,6234.083007,4151.514275
Ohio,Other ag prods.,million ton-miles,2012,955.584977,4584.772507,4142.491947
