"Name","Male_in_Labor_Force_16_T_19","Female_in_Labor_Force_16_T_19","Male_in_Labor_Force_20_T_21","Female_in_Labor_Force_20_T_21","Male_in_Labor_Force_22_T_24","Female_in_Labor_Force_22_T_24","Male_in_Labor_Force_25_T_29","Female_in_Labor_Force_25_T_29","Male_in_Labor_Force_30_T_34","Female_in_Labor_Force_30_T_34","Male_in_Labor_Force_35_T_44","Female_in_Labor_Force_35_T_44","Male_in_Labor_Force_45_T_54","Female_in_Labor_Force_45_T_54","Male_in_Labor_Force_55_T_59","Female_in_Labor_Force_55_T_59","Male_in_Labor_Force_60_T_61","Female_in_Labor_Force_60_T_61","Male_in_Labor_Force_62_T_64","Female_in_Labor_Force_62_T_64","Male_in_Labor_Force_65_T_69","Female_in_Labor_Force_65_T_69","Male_in_Labor_Force_70_T_74","Female_in_Labor_Force_70_T_74","Male_in_Labor_Force_75_or_more","Female_in_Labor_Force_75_or_more","STATEFP","COUNTYFP","STATE_FIPS","In_Labor_Force_16_T_19","In_Labor_Force_20_T_21","In_Labor_Force_22_T_24","In_Labor_Force_25_T_29","In_Labor_Force_30_T_34","In_Labor_Force_35_T_44","In_Labor_Force_45_T_54","In_Labor_Force_55_T_59","In_Labor_Force_60_T_61","In_Labor_Force_62_T_64","In_Labor_Force_65_T_69","In_Labor_Force_70_T_74","In_Labor_Force_75_or_more","Year"
"Grundy County, Tennessee","97","126","96","112","127","92","316","201","289","279","649","464","664","591","323","290","99","39","27","114","96","72","102","51","22","28","47","061","47061","223","208","219","517","568","1113","1255","613","138","141","168","153","50","2010"
"Hamblen County, Tennessee","830","676","646","512","1048","682","1677","1380","1881","1170","3851","3248","3483","3055","1313","1253","539","343","521","483","468","319","180","178","81","28","47","063","47063","1506","1158","1730","3057","3051","7099","6538","2566","882","1004","787","358","109","2010"
"Hamilton County, Tennessee","4607","4923","3846","2803","5446","5947","10104","9372","9511","7718","19404","17308","19882","19162","8287","7431","2720","2887","2706","2393","2459","2065","1211","947","842","611","47","065","47065","9530","6649","11393","19476","17229","36712","39044","15718","5607","5099","4524","2158","1453","2010"
"Hancock County, Tennessee","69","55","107","75","41","71","143","133","140","109","253","283","299","222","123","78","75","35","34","24","37","48","4","0","0","7","47","067","47067","124","182","112","276","249","536","521","201","110","58","85","4","7","2010"
"Hardeman County, Tennessee","234","202","202","206","317","274","528","580","622","546","1083","981","1276","1325","603","422","186","263","130","198","165","67","16","32","72","35","47","069","47069","436","408","591","1108","1168","2064","2601","1025","449","328","232","48","107","2010"
"Hardin County, Tennessee","422","365","252","127","368","261","493","505","560","547","1447","1042","1419","1203","486","498","115","186","321","163","209","198","68","90","60","68","47","071","47071","787","379","629","998","1107","2489","2622","984","301","484","407","158","128","2010"
"Hawkins County, Tennessee","487","742","394","344","824","523","1371","1159","1433","1077","3564","2996","3238","2747","1188","1185","415","336","406","296","214","225","173","111","114","63","47","073","47073","1229","738","1347","2530","2510","6560","5985","2373","751","702","439","284","177","2010"
"Haywood County, Tennessee","170","218","144","194","342","265","405","529","432","570","975","933","989","1122","519","388","137","148","129","66","157","109","86","23","29","37","47","075","47075","388","338","607","934","1002","1908","2111","907","285","195","266","109","66","2010"
"Henderson County, Tennessee","399","327","197","153","339","387","772","513","794","686","1680","1333","1513","1540","694","517","233","240","211","225","125","98","66","61","40","29","47","077","47077","726","350","726","1285","1480","3013","3053","1211","473","436","223","127","69","2010"
"Henry County, Tennessee","298","189","320","75","331","512","652","671","786","688","1705","1537","1766","1707","731","713","338","285","240","252","163","237","72","99","102","92","47","079","47079","487","395","843","1323","1474","3242","3473","1444","623","492","400","171","194","2010"
"Hickman County, Tennessee","263","199","138","201","412","267","628","556","569","427","1522","1165","1447","1227","676","550","175","70","94","132","206","155","86","95","56","71","47","081","47081","462","339","679","1184","996","2687","2674","1226","245","226","361","181","127","2010"
"Houston County, Tennessee","85","42","37","49","97","124","264","125","192","134","427","343","439","319","206","155","98","55","57","16","31","18","33","35","16","0","47","083","47083","127","86","221","389","326","770","758","361","153","73","49","68","16","2010"
"Humphreys County, Tennessee","173","152","185","77","219","235","403","281","439","524","1175","917","1119","797","379","359","141","170","182","140","166","114","59","42","80","30","47","085","47085","325","262","454","684","963","2092","1916","738","311","322","280","101","110","2010"
"Jackson County, Tennessee","148","83","134","119","157","94","267","196","211","212","592","534","601","563","387","204","18","32","40","16","70","65","19","22","0","10","47","087","47087","231","253","251","463","423","1126","1164","591","50","56","135","41","10","2010"
"Jefferson County, Tennessee","855","964","511","438","736","429","1219","1129","1316","1131","2929","2625","2920","2423","1215","1084","436","315","346","301","458","307","137","78","195","89","47","089","47089","1819","949","1165","2348","2447","5554","5343","2299","751","647","765","215","284","2010"
"Johnson County, Tennessee","255","167","54","118","313","129","374","392","417","224","1010","873","892","817","328","285","94","158","112","143","57","124","42","28","61","28","47","091","47091","422","172","442","766","641","1883","1709","613","252","255","181","70","89","2010"
"Knox County, Tennessee","5004","4571","4903","4915","9322","7592","13035","11668","12541","10853","26306","21887","26289","23445","9662","9285","3477","2991","3636","2980","2417","2291","950","717","923","716","47","093","47093","9575","9818","16914","24703","23394","48193","49734","18947","6468","6616","4708","1667","1639","2010"
"Lake County, Tennessee","28","15","55","4","13","65","149","115","84","149","277","166","305","298","75","85","34","75","45","30","110","38","7","6","13","30","47","095","47095","43","59","78","264","233","443","603","160","109","75","148","13","43","2010"
"Lauderdale County, Tennessee","192","360","210","282","234","364","549","545","631","549","1236","1366","1290","1220","579","497","161","161","135","78","216","158","55","34","42","53","47","097","47097","552","492","598","1094","1180","2602","2510","1076","322","213","374","89","95","2010"
"Lawrence County, Tennessee","439","583","480","287","498","327","1048","924","1031","819","2340","2175","2201","1971","890","611","312","383","291","229","201","130","128","64","66","28","47","099","47099","1022","767","825","1972","1850","4515","4172","1501","695","520","331","192","94","2010"
"Lewis County, Tennessee","158","60","144","100","134","108","247","275","355","292","551","504","696","688","272","217","74","88","140","87","66","80","14","0","24","20","47","101","47101","218","244","242","522","647","1055","1384","489","162","227","146","14","44","2010"
"Lincoln County, Tennessee","356","300","360","306","415","437","812","639","753","680","1824","1563","2143","1779","725","714","323","264","232","338","314","132","169","41","73","91","47","103","47103","656","666","852","1451","1433","3387","3922","1439","587","570","446","210","164","2010"
"Loudon County, Tennessee","631","579","443","308","481","600","914","864","1051","823","2895","2341","2805","2423","1154","1135","351","367","517","353","446","300","142","139","112","46","47","105","47105","1210","751","1081","1778","1874","5236","5228","2289","718","870","746","281","158","2010"
"McMinn County, Tennessee","726","747","425","421","635","551","1310","1122","1228","965","2943","2410","3321","2596","963","993","407","258","403","345","313","393","141","126","54","14","47","107","47107","1473","846","1186","2432","2193","5353","5917","1956","665","748","706","267","68","2010"
"McNairy County, Tennessee","295","313","282","97","237","284","629","544","584","490","1411","1333","1359","1097","509","439","172","110","231","210","224","146","47","51","99","68","47","109","47109","608","379","521","1173","1074","2744","2456","948","282","441","370","98","167","2010"
"Macon County, Tennessee","307","269","216","138","305","365","553","547","556","441","1365","1121","1063","848","473","386","130","126","132","101","138","101","39","64","50","0","47","111","47111","576","354","670","1100","997","2486","1911","859","256","233","239","103","50","2010"
"Madison County, Tennessee","1224","1545","1259","1118","1530","1611","2670","2649","2528","2387","5325","5373","5906","5603","2312","2095","626","642","663","499","625","557","305","154","115","128","47","113","47113","2769","2377","3141","5319","4915","10698","11509","4407","1268","1162","1182","459","243","2010"
