"Name","Male_Employed_16_T_19","Female_Employed_16_T_19","Male_Employed_20_T_21","Female_Employed_20_T_21","Male_Employed_22_T_24","Female_Employed_22_T_24","Male_Employed_25_T_29","Female_Employed_25_T_29","Male_Employed_30_T_34","Female_Employed_30_T_34","Male_Employed_35_T_44","Female_Employed_35_T_44","Male_Employed_45_T_54","Female_Employed_45_T_54","Male_Employed_55_T_59","Female_Employed_55_T_59","Male_Employed_60_T_61","Female_Employed_60_T_61","Male_Employed_62_T_64","Female_Employed_62_T_64","Male_Employed_65_T_69","Female_Employed_65_T_69","Male_Employed_70_T_74","Female_Employed_70_T_74","Male_Employed_75_or_more","Female_Employed_75_or_more","STATEFP","COUNTYFP","STATE_FIPS","Employed_16_T_19","Employed_20_T_21","Employed_22_T_24","Employed_25_T_29","Employed_30_T_34","Employed_35_T_44","Employed_45_T_54","Employed_55_T_59","Employed_60_T_61","Employed_62_T_64","Employed_65_T_69","Employed_70_T_74","Employed_75_or_more","Year"
"Monroe County, Tennessee","340","307","204","318","685","415","1052","809","1025","883","2012","1835","2209","2034","882","728","130","266","485","189","380","320","198","164","79","11","47","123","47123","647","522","1100","1861","1908","3847","4243","1610","396","674","700","362","90","2020"
"Morgan County, Tennessee","180","155","137","99","386","229","436","302","238","370","594","658","1175","710","338","341","142","129","120","69","102","151","57","45","12","22","47","129","47129","335","236","615","738","608","1252","1885","679","271","189","253","102","34","2020"
"Perry County, Tennessee","17","80","76","146","71","24","103","113","136","103","224","284","390","269","141","199","64","58","154","22","13","52","45","43","35","0","47","135","47135","97","222","95","216","239","508","659","340","122","176","65","88","35","2020"
"Putnam County, Tennessee","496","618","882","1190","1766","1426","2501","2036","1971","1213","3754","3286","4107","3619","1415","1323","682","751","649","664","417","310","210","235","156","76","47","141","47141","1114","2072","3192","4537","3184","7040","7726","2738","1433","1313","727","445","232","2020"
"Robertson County, Tennessee","732","596","735","598","701","814","1855","1743","1974","1635","3864","3567","4335","3627","2147","1685","653","523","615","605","700","715","225","132","66","62","47","147","47147","1328","1333","1515","3598","3609","7431","7962","3832","1176","1220","1415","357","128","2020"
"Sevier County, Tennessee","1319","1034","1001","776","1277","1221","2628","2283","2213","1651","4596","4364","4987","4800","2689","2199","741","1106","941","1081","1389","1260","581","319","245","385","47","155","47155","2353","1777","2498","4911","3864","8960","9787","4888","1847","2022","2649","900","630","2020"
"Stewart County, Tennessee","145","104","159","138","94","89","198","306","207","253","526","601","724","635","412","285","207","137","43","144","57","61","6","61","1","29","47","161","47161","249","297","183","504","460","1127","1359","697","344","187","118","67","30","2020"
"Tipton County, Tennessee","250","424","425","388","787","619","1596","1452","1396","1024","3243","3058","3475","3261","1641","1431","474","477","507","414","357","222","220","100","148","32","47","167","47167","674","813","1406","3048","2420","6301","6736","3072","951","921","579","320","180","2020"
"Union County, Tennessee","206","186","246","177","201","152","515","288","466","397","887","760","929","884","426","277","172","155","105","41","123","101","19","46","14","42","47","173","47173","392","423","353","803","863","1647","1813","703","327","146","224","65","56","2020"
"Washington County, Tennessee","1180","1246","1512","1705","1922","2346","3323","3302","3231","2680","6885","5127","6336","6263","2719","2824","969","982","1250","1025","1014","1014","545","606","281","224","47","179","47179","2426","3217","4268","6625","5911","12012","12599","5543","1951","2275","2028","1151","505","2020"
