"Name","Male_LT_5","Female_LT_5","Male_5_T_9","Female_5_T_9","Male_10_T_14","Female_10_T_14","Male_15_T_17","Female_15_T_17","Male_18_T_19","Female_18_T_19","Male_20","Female_20","Male_21","Female_21","Male_22_T_24","Female_22_T_24","Male_25_T_29","Female_25_T_29","Male_30_T_34","Female_30_T_34","Male_35_T_39","Female_35_T_39","Male_40_T_44","Female_40_T_44","Male_45_T_49","Female_45_T_49","Male_50_T_54","Female_50_T_54","Male_55_T_59","Female_55_T_59","Male_60_T_61","Female_60_T_61","Male_62_T_64","Female_62_T_64","Male_65_T_66","Female_65_T_66","Male_67_T_69","Female_67_T_69","Male_70_T_74","Female_70_T_74","Male_75_T_79","Female_75_T_79","Male_80_T_84","Female_80_T_84","Male_GE_85","Female_GE_85","STATEFP","COUNTYFP","STATE_FIPS","Year"
"Blount County, Tennessee","3514","3424","3652","3599","4179","4023","2581","2396","1536","1473","816","658","374","739","2093","1923","3391","3414","3605","3727","3920","4000","4513","4650","4468","4831","4295","4645","4345","3996","1523","1816","1940","2578","1149","1281","1587","1905","2206","2341","1519","2101","959","1394","550","1511","47","009","47009","2010"
"Bradley County, Tennessee","3142","2951","3397","3591","3152","2668","1983","1739","1307","1779","568","775","893","762","1972","1823","3184","3125","3147","2934","3206","3479","3531","3695","3479","3611","3131","3358","2726","2722","1149","1371","1634","1931","768","840","1140","1347","1725","2003","1168","1743","549","760","336","898","47","011","47011","2010"
"Campbell County, Tennessee","1224","1134","1121","1165","1439","1318","862","826","489","483","189","235","284","227","554","587","1233","1151","1214","1172","1353","1605","1546","1225","1334","1543","1408","1460","1261","1322","700","478","664","1045","345","573","685","722","875","791","579","761","300","480","165","496","47","013","47013","2010"
"Cannon County, Tennessee","413","380","406","446","495","396","295","293","176","146","70","65","44","84","298","219","363","380","412","349","508","379","525","552","561","554","511","524","372","560","169","141","283","150","130","101","149","196","293","357","226","225","77","175","36","147","47","015","47015","2010"
"Carroll County, Tennessee","873","834","713","921","953","936","644","504","560","382","96","135","130","246","592","542","810","785","699","796","830","866","1012","1037","1004","1020","935","998","913","962","358","481","521","543","280","334","423","522","520","586","460","502","268","472","163","483","47","017","47017","2010"
"Carter County, Tennessee","1541","1463","1399","1691","2001","1535","1170","1035","812","729","500","413","401","580","954","1099","1643","1612","1647","1619","2038","1843","2025","2062","2218","2134","2021","2153","1995","2081","814","928","977","987","588","634","785","960","1180","1352","686","1052","556","829","309","659","47","019","47019","2010"
"Cheatham County, Tennessee","1266","1227","1259","1258","1658","1390","936","918","509","456","189","153","179","172","627","660","1009","1082","1231","1193","1381","1299","1754","1873","1748","1675","1570","1516","1255","1287","435","455","565","546","280","238","337","469","694","537","268","324","179","327","153","272","47","021","47021","2010"
"Chester County, Tennessee","462","492","577","629","586","546","328","327","400","562","184","257","111","183","382","141","478","508","442","542","510","524","524","543","502","562","627","549","503","446","196","189","240","331","168","199","284","253","211","214","195","351","146","226","55","108","47","023","47023","2010"
"Claiborne County, Tennessee","884","801","763","907","1196","940","691","612","455","560","198","134","224","168","584","737","959","937","924","871","1040","1141","1133","1171","1085","1094","1144","1200","1156","1130","469","548","576","606","433","367","424","411","566","750","370","465","203","344","159","371","47","025","47025","2010"
"Clay County, Tennessee","165","144","183","158","201","297","144","171","43","92","33","24","17","29","154","152","167","203","175","154","214","219","269","283","330","349","352","302","218","256","155","101","163","256","120","111","123","223","349","232","149","108","84","71","22","123","47","027","47027","2010"
"Cocke County, Tennessee","994","1058","1078","1110","1173","944","708","672","423","396","260","229","123","233","513","441","923","1117","1106","1034","1225","1412","1184","1042","1281","1447","1339","1465","1159","1453","593","462","655","699","400","367","541","643","701","704","550","536","166","386","162","366","47","029","47029","2010"
"Coffee County, Tennessee","1726","1796","1598","1934","2059","1622","1141","1099","664","678","318","362","285","249","736","809","1552","1626","1572","1513","1614","2015","1891","1580","1930","1976","1858","1884","1491","1625","672","650","846","973","507","688","659","627","874","1046","727","1038","455","545","233","601","47","031","47031","2010"
"Crockett County, Tennessee","454","490","456","375","584","570","298","334","218","160","32","93","108","81","247","259","402","453","484","427","358","348","500","610","602","576","476","480","379","389","169","154","267","338","143","163","200","214","247","290","151","227","132","211","86","289","47","033","47033","2010"
"Cumberland County, Tennessee","1341","1385","1710","1284","1423","1658","1004","893","566","571","369","220","286","341","613","647","1181","1371","1224","1277","1674","1486","1514","1680","1796","1827","1647","1947","1730","2315","777","977","1333","1290","746","1129","1202","1469","2047","1546","1323","1313","792","823","431","799","47","035","47035","2010"
"Davidson County, Tennessee","21985","21287","19061","18299","16919","16100","10493","10109","9268","9167","5066","4619","5166","5351","15223","17647","29438","30645","24955","24628","22404","21665","21386","20985","20840","22037","19826","21519","16971","19256","5916","6293","6751","7483","3777","4548","4504","5388","6340","8939","4961","7123","3369","6074","2516","6587","47","037","47037","2010"
