State,Commodity,Field,Value,Unit,Year
Illinois,Gasoline,tmiles_within,3561.367325,million ton-miles,2012
Illinois,Gasoline,tmiles_out,15520.25479,million ton-miles,2012
Illinois,Gasoline,tmiles_in,36402.7024,million ton-miles,2012
Illinois,Gravel,tmiles_within,2751.442638,million ton-miles,2012
Illinois,Gravel,tmiles_out,14716.24019,million ton-miles,2012
Illinois,Gravel,tmiles_in,27587.41642,million ton-miles,2012
Illinois,Other ag prods.,tmiles_within,2565.837246,million ton-miles,2012
Illinois,Other ag prods.,tmiles_out,12923.07945,million ton-miles,2012
Illinois,Other ag prods.,tmiles_in,10613.19324,million ton-miles,2012
Illinois,Fuel oils,tmiles_within,1511.695193,million ton-miles,2012
Illinois,Fuel oils,tmiles_out,11503.5791,million ton-miles,2012
Illinois,Fuel oils,tmiles_in,9477.605548,million ton-miles,2012
Illinois,Other foodstuffs,tmiles_within,1453.121723,million ton-miles,2012
Illinois,Other foodstuffs,tmiles_out,10744.65039,million ton-miles,2012
Illinois,Other foodstuffs,tmiles_in,8317.522467,million ton-miles,2012
Illinois,Natural sands,tmiles_within,934.981712,million ton-miles,2012
Illinois,Natural sands,tmiles_out,9916.839435,million ton-miles,2012
Illinois,Natural sands,tmiles_in,7207.0947,million ton-miles,2012
Illinois,Nonmetal min. prods.,tmiles_within,730.415465,million ton-miles,2012
Illinois,Nonmetal min. prods.,tmiles_out,9575.339995,million ton-miles,2012
Illinois,Nonmetal min. prods.,tmiles_in,6259.276344,million ton-miles,2012
Illinois,Mixed freight,tmiles_within,559.500551,million ton-miles,2012
Illinois,Mixed freight,tmiles_out,9092.448662,million ton-miles,2012
Illinois,Mixed freight,tmiles_in,5213.326931,million ton-miles,2012
Illinois,Coal-n.e.c.,tmiles_within,548.839955,million ton-miles,2012
Illinois,Coal-n.e.c.,tmiles_out,8938.925944,million ton-miles,2012
Illinois,Coal-n.e.c.,tmiles_in,5201.640996,million ton-miles,2012
Indiana,Cereal grains,tmiles_within,2015.8992,million ton-miles,2012
Indiana,Cereal grains,tmiles_out,11775.69342,million ton-miles,2012
Indiana,Cereal grains,tmiles_in,25262.6518,million ton-miles,2012
Indiana,Coal,tmiles_within,1967.0406,million ton-miles,2012
Indiana,Coal,tmiles_out,10022.56752,million ton-miles,2012
Indiana,Coal,tmiles_in,20197.3308,million ton-miles,2012
Indiana,Base metals,tmiles_within,879.976768,million ton-miles,2012
